Transect,Pt,Especie,Altitude,lat,lon,15N,13C
Atacama,TLT14,Maihueniopsis camachoi,3270,"-23,31291","-67,89014","6,9",-13
Atacama,TLT14,Maihueniopsis camachoi,3270,"-23,31291","-67,89014","6,4","-12,3"
Atacama,TLT15,Maihueniopsis camachoi,3170,"-23,3101","-67,90332","4,6","-11,7"
Atacama,TLT16,Maihueniopsis camachoi,3070,"-23,31005","-67,91876","5,4","-11,5"
Atacama,TLT17,Maihueniopsis camachoi,2970,"-23,30211","-67,93427","5,8","-11,7"
Atacama,TLT14,Tiquilia atacamensis,3270,"-23,31291","-67,89014","6,6","-25,8"
Atacama,TLT15,Tiquilia atacamensis,3170,"-23,3101","-67,90332",7,"-26,6"
Atacama,TLT15,Tiquilia atacamensis,3170,"-23,3101","-67,90332","6,1","-25,3"
Atacama,TLT18,Tiquilia atacamensis,2870,"-23,28868","-67,94587","6,3","-27,1"
Santiago,2010/41P3-001,Porlieria chilensis,638,"-31,46861","-71,10183","2,92","-26,02"
Santiago,2010/41P7-002,Porlieria chilensis,900,"-31,5614","-70,87532","3,81","-27,21"
Santiago,2010/41P8-003,Porlieria chilensis,686,"-30,98022","-71,0612","4,12","-26,7"
Santiago,2010/41P9-004,Porlieria chilensis,445,"-30,71162","-71,177","3,68","-27,85"
Santiago,2010/42P1-005,Porlieria chilensis,286,"-32,09234","-71,2506","4,67","-28,61"
Santiago,2010/42P3-006,Porlieria chilensis,638,"-31,46861","-71,10183","3,58","-26,93"
Santiago,2010/42P4-007,Porlieria chilensis,1023,"-31,26838","-71,06716","3,81","-26,91"
Santiago,2010/42P7-008,Porlieria chilensis,900,"-31,5614","-70,87532","4,07","-27,58"
Santiago,2010/42P9-009,Porlieria chilensis,445,"-30,71162","-71,177","6,52","-28,17"
Santiago,2010/41P1-010,Flourensia thurifera,286,"-32,09234","-71,2506","2,99","-28,87"
Santiago,2010/41P3-011,Flourensia thurifera,638,"-31,46861","-71,10183","0,2","-25,54"
Santiago,2010/41P4-012,Flourensia thurifera,1023,"-31,26838","-71,06716","-1,25","-28,02"
Santiago,2010/41P7-013,Flourensia thurifera,900,"-31,5614","-70,87532","1,71","-26,75"
Santiago,2010/41P8-014,Flourensia thurifera,686,"-30,98022","-71,0612","1,38","-28,27"
Santiago,2010/41P10-015,Flourensia thurifera,668,"-30,88676","-71,1931","-0,51","-25,91"
Santiago,2010/42P1-016,Flourensia thurifera,286,"-32,09234","-71,2506","5,47","-28,57"
Santiago,2010/42P3-017,Flourensia thurifera,638,"-31,46861","-71,10183","3,17","-28,37"
Santiago,2010/42P4-018,Flourensia thurifera,1023,"-31,26838","-71,06716","2,04","-26,52"
Santiago,2010/42P7-019,Flourensia thurifera,900,"-31,5614","-70,87532","3,89","-26,11"
Santiago,2010/42P8-020,Flourensia thurifera,686,"-30,98022","-71,0612","0,84","-27,37"
Santiago,2010/42P10-021,Flourensia thurifera,668,"-30,88676","-71,1931","2,87","-29,05"
Santiago,2010/42P1-023,Asteraceae,286,"-32,09234","-71,2506","6,39","-26,74"
Santiago,2010/42P2-024,Asteraceae,810,"-31,87777","-71,15838","3,84","-28,19"
Santiago,2010/42P3-025,Asteraceae,638,"-31,46861","-71,10183","5,37","-28,55"
Santiago,2010/42P4-026,Asteraceae,1023,"-31,26838","-71,06716","2,92","-25,92"
Santiago,2010/42P7-027,Asteraceae,900,"-31,5614","-70,87532","3,09","-25,62"
Santiago,2010/42P8-028,Asteraceae,686,"-30,98022","-71,0612","7,5","-27,43"
Santiago,2010/42P9-029,Asteraceae,445,"-30,71162","-71,177",4,"-29,8"
Santiago,2010/42P10-030,Asteraceae,668,"-30,88676","-71,1931","4,66","-29,23"
Santiago,2010/42P10-031,Asteraceae,668,"-30,88676","-71,1931","5,8","-29,87"
Atacama,Atx.LDT 1,Atriplex imbricata,3030,"-23,96888","-68,14908","6,71","-14,85"
Atacama,Atx.LDT 2,Atriplex imbricata,3100,"-23,84333","-68,03975","10,26","-14,33"
Atacama,Amb.LDT 3,Ambrosia artemisioides,3030,"-23,96888","-68,14908","5,11","-22,25"
Atacama,Ads. 4,Adesmia spinosissima,3870,"-23,32856","-67,7989","1,8","-26,9"
Santiago,Llag. 5,Llagunoa glandulosa,1197,"-31,3636","-71,1048","-1,94","-13,31"
Santiago,Llag. 6,Llagunoa glandulosa,638,"-31,46861","-71,10183","-0,74","-25,13"
Santiago,Oxa. 7,Oxalis sp.,1197,"-31,3636","-71,1048","3,26","-27,62"
Santiago,Trev. 8,Trevoa trinervis,810,"-31,87777","-71,15838","0,36","-26,78"
Santiago,Trev. 9,Trevoa trinervis,810,"-31,87777","-71,15838","-1,71","-27,75"
Santiago,Ads. 10,Adesmia arborea,810,"-31,87777","-71,15838","1,32","-28,47"
Santiago,Ads. 11,Adesmia arborea,638,"-31,46861","-71,10183","1,34","-26,64"
